NAMA_DESA,KODE_DESA,LUAS,PENDUDUK,TOTAL_AREA
Sumbergiri,34.03.060.007,12083.0,5940,579.7
Ngipak,34.03.070.005,5306.0,3196,429.6
Wareng,34.03.080.004,6264.0,3968,666.9
Baleharjo,34.03.080.008,4147.0,5738,526.6
Logandeng,34.03.090.010,6670.0,7222,701.7
Banaran,34.03.090.012,5066.0,4277,594.7
Ngerut,34.03.100.014,14817.0,6845,997.5
Kedungkeris,34.03.110.001,5788.0,4515,822.6
Watugajah,34.03.110.005,7958.0,4828,725.8
Katongan,34.03.110.008,8251.0,5274,875.1
Semin,34.03.130.003,12021.0,9734,712.0
Candirejo,34.03.130.010,11121.0,7061,1476.0
Sendangagung,34.04.020.005,6562.0,8345,512.0
Ambarketawang,34.04.050.002,6280.0,14734,633.7
Tirtonadi,34.04.060.001,4970.0,7610,572.4
Tegaltirto,34.04.080.002,5720.0,8290,603.7
Madurejo,34.04.090.005,7090.0,11210,677.5
Sindumartani,34.04.110.005,6660.0,6651,586.7
Sinduharjo,34.04.120.002,6600.0,6625,473.4
Banyurejo,34.04.140.001,4830.0,7292,842.0
Lumbungrejo,34.04.140.007,3330.0,5781,373.8
Candibinangun,34.04.160.002,6360.0,4553,528.3
Giwangan,34.71.040.001,1255.0,4252,138.6
Semaki,34.71.040.007,659.0,6399,64.6
Purbayan,34.71.050.002,834.0,8183,57.1
Demangan,34.71.060.002,740.0,13738,143.7
Bausaran,34.71.070.003,474.0,11206,31.0
Ngupasan,34.71.090.002,670.0,9050,51.8
Cokrodiningratan,34.71.130.003,659.0,11824,61.8
Tegalrejo,34.71.140.001,817.0,8251,114.1
Tirtonirmolo,34.02.150.002,5130.0,16796,544.6
Jangkaran,34.01.010.001,3656.0,1598,294.6
Hargorejo,34.01.080.002,12296.0,10102,1467.0
Hargotirto,34.01.080.005,14717.0,8172,1319.0
Purwosari,34.01.100.004,13652.0,5485,1924.0
Pagerharjo,34.01.110.007,11405.0,4789,888.4
Banjaroyo,34.01.120.004,16812.0,8808,1143.0
trimurti,34.02.010.002,6455.0,16441,562.5
Patalan,34.02.080.001,5652.0,11054,377.2
Wukirsari,34.02.090.008,15386.0,13627,1541.0
Argosari,34.02.170.003,6368.0,8224,807.3
Semugih,34.03.040.014,11455.0,4715,962.6
Kenteng,34.03.060.008,9116.0,3390,1003.0
Karangmojo,34.03.070.006,11146.0,8163,1079.0
Selang,34.03.080.009,3320.0,3838,393.6
Ngeri,34.03.090.013,2763.0,3290,1017.0
Tegalrejo,34.03.120.007,10019.0,7047,1602.0
Bendung,34.03.130.008,4965.0,3893,612.6
Bokoharjo,34.04.090.006,5400.0,9006,693.8
Sumberrejo,34.04.140.003,2920.0,4151,573.6
Hargobinangun,34.04.160.005,14300.0,6887,1353.0
Sorosutan,34.71.040.002,1682.0,10812,185.0
Rejowinangun,34.71.050.003,1250.0,8892,58.1
Gunungketur,34.71.080.002,301.0,5574,19.7
Notoprajan,34.71.100.001,370.0,8852,21.3
Karangwaru,34.71.140.004,700.0,9473,116.3
Rejosari,34.03.130.006,9518.0,5887,1159.0
Girikerto,34.04.150.003,13070.0,6980,1325.0
Argomulyo,34.04.170.002,8470.0,7173,1177.0
Mardikorejo,34.04.140.008,6120.0,5280,768.7
Glagahharjo,34.04.170.003,7950.0,3240,784.8
Bangunkerto,34.04.150.001,7030.0,7770,1084.0
Kepuhharjo,34.04.170.004,8750.0,2400,912.1
Purwobinangun,34.04.160.001,13480.0,7648,1687.0
